Name,Mz,RT,KEGG_ID,NeutralMass,Mode,Adduct,PPM_Diff,KEGG_ExactMass
Pentagalloylglucose,941.1299,12.8527,C04576,940.1226235331201,POS,[M+H]+,-4.725482621970732,940.118181
Lupinate,307.1528,18.6981,C01513,306.14552353312,POS,[M+H]+,-4.852375768378523,306.144038
Debromohymenialdisine,263.126,14.9098,C19897,245.09217699999996,POS,[M+NH4]+,-3.6802480234527604,245.091275
Mequitazine,323.1576,15.9734,C12755,322.15032353312,POS,[M+H]+,0.14423974341586807,322.15037
"9,11alpha-Epoxypregn-4-ene-3,20-dione",346.239,28.8122,C04379,328.205177,POS,[M+NH4]+,-4.0584368965965,328.203845
Adenosylhopane,679.5295,21.6687,C21117,661.495677,POS,[M+NH4]+,-3.909322600079709,661.493091
3-O-Methylquercetin,317.0644,0.6905,C04443,316.05712353312,POS,[M+H]+,3.7318155239194373,316.058303
Didrovaltratum,425.2152,25.8601,C09776,424.20792353312,POS,[M+H]+,4.230158798267153,424.209718
Cassaidine,446.2674,15.745,C08669,407.304242,POS,[M+K]+,-1.676879171763925,407.303559
Ecdysone palmitate,703.5486,67.0429,C02681,702.54132353312,POS,[M+H]+,3.0339380881596605,702.543455
16alpha-Hydroxydehydroepiandrosterone,343.1667,25.4637,C05139,304.20354199999997,POS,[M+K]+,0.9960436293368551,304.203845
Clomiphene,406.1926,69.7593,C06917,405.18532353312,POS,[M+H]+,1.5263802612389703,405.185942
3beta-Hydroxy-16-phosphonopregn-5-en-20-one monoethyl ester,447.2272,27.0073,C15173,424.237982,POS,[M+Na]+,-0.2852172721741861,424.237861
Dyclonine,307.237,72.0844,C07881,289.20317700000004,POS,[M+NH4]+,3.464692229059792,289.204179
Dihydroisopentenyldehydrorhodopin,645.5026,64.1103,C22058,622.513382,POS,[M+Na]+,-3.2368782074286746,622.511367
Senecionine,358.1609,45.3501,C06176,335.17168200000003,POS,[M+Na]+,4.746821063368206,335.173273
Okenone,601.4003,78.4047,C16280,578.411082,POS,[M+Na]+,2.245807593322112,578.412381
N-(11-Methyldodecanoyl)-L-phenylalanine,384.2515,30.6125,C22993,361.262282,POS,[M+Na]+,-1.6276263239964115,361.261694
Hydroxyspirilloxanthin,621.4048,20.3666,C15879,582.441642,POS,[M+K]+,3.5007799115570926,582.443681
Glycolaldehyde triphosphate,334.888,6.5034,C21615,299.91914699999995,NEG,[M+Cl]-,3.250876143761079,299.920122
