Mz,RT,Mode,Adduct,Neutral_Mass,Library_Match,KEGG_ID,Compound_Name,Exact_Mass,PPM_Error,Formula,SMILES,PubChem_CID,ChEBI_ID,Consensus_Score,Consensus_Level,Pathways
100.963,32.5218,POS,[M+K]+,61.999842,KEGG,C01353,,62.000394,8.903248495473639,,,,,0.7158050902715817,Single,
128.9569,5.3057,POS,[M+K]+,89.993742,KEGG,C00209,,89.995309,17.412321847985094,,,,,0.2052606891208943,Single,
128.9569,40.1212,POS,[M+K]+,89.993742,KEGG,C00209,,89.995309,17.412321847985094,,,,,0.2052606891208943,Single,
151.1208,70.1942,POS,[M+NH4]+,133.086977,KEGG,C07155,,133.089149,16.320154300308566,,,,,0.270790741981486,Single,
161.1027,73.7356,POS,[M+H]+,160.09542353312,KEGG,C02636,,160.097368,12.145674355196975,,,,,0.5712595386881815,Single,
167.0814,42.0223,POS,[M+NH4]+,149.047577,KEGG,C00650,,149.047678,0.6776359739198907,,,,,1.2093418415648065,Single,
181.0947,58.8523,POS,[M+NH4]+,163.06087699999998,ChEBI,,beta-D-mannosyl group,163.06065,-1.3921181103845812,C6H11O5,*[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,,CHEBI:12384,1.073433503928848,Medium,
222.1256,48.1067,POS,[M+K]+,183.162442,KEGG,C09989,,183.162314,-0.698833224714649,,,,,1.208070006517121,Single,
222.1256,59.7458,POS,[M+K]+,183.162442,KEGG,C09989,,183.162314,-0.698833224714649,,,,,1.208070006517121,Single,
230.0361,45.3323,POS,[M+K]+,191.072942,KEGG,C10897,,191.069477,-18.134435800991657,,,,,0.16193385194050056,Single,
241.2145,27.4711,POS,[M-H2O+H]+,222.196659,KEGG,C01126,cedrol,222.198365,7.677883221515333,C15H26O,[H][C@@]12CC[C@@H](C)[C@@]13CC[C@@](C)(O)[C@H](C3)C2(C)C,,CHEBI:10217,0.7693270067090799,Medium,
259.1607,50.3286,POS,[M-H2O+H]+,240.142859,KEGG,C11716,,240.139326,-14.7120760313945,,,,,0.3472754381163301,Single,
263.126,14.9098,POS,[M+H]+,262.11872353312,KEGG,C09015,,262.120509,6.811672420743295,,,,,0.8912996547554022,Single,
275.0721,43.2717,POS,[M+K]+,236.108942,KEGG,C07261,7-methoxyisoflavone,236.10841,-2.2531971702818843,C16H12O3,COc1ccc2c(=O)c(-c3ccccc3)coc2c1,,CHEBI:12257,1.114808169783087,Medium,
278.1948,53.778,POS,[M+H]+,277.18752353312,KEGG,C06824,,277.18305,-16.139013267930668,,,,,0.3316592039241599,Single,
278.1948,57.8585,POS,[M+H]+,277.18752353312,KEGG,C06824,,277.18305,-16.139013267930668,,,,,0.3316592039241599,Single,
291.2116,47.6718,POS,[M-H2O+H]+,272.193759,KEGG,C09890,beta-obscurine,272.188863,-17.987186840583696,C17H24N2O,[H][C@]12CCCN(C)[C@]13C[C@H](C)C[C@H]2Cc1nc(=O)ccc13,,CHEBI:10435,0.15076878956497827,Medium,
298.2048,66.9848,POS,[M+H]+,297.19752353312,KEGG,C11840,,297.194008,-11.828944865311248,,,,,0.5902633080813251,Single,
301.0919,12.1389,POS,[M+H]+,300.08462353312,KEGG,C03993,methohexital,300.084517,-0.3550102592714218,C14H18N2O3,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,,CHEBI:102216,1.2786993844437147,Medium,
301.0919,95.6059,POS,[M+H]+,300.08462353312,KEGG,C03993,methohexital,300.084517,-0.3550102592714218,C14H18N2O3,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,,CHEBI:102216,1.2786993844437147,Medium,
302.146,14.2146,POS,[M+NH4]+,284.11217700000003,KEGG,C01677,,284.11207,-0.3766118057448416,,,,,1.2274032916553095,Single,
307.237,72.0844,POS,[M+NH4]+,289.20317700000004,KEGG,C07881,,289.204179,3.464692229059792,,,,,1.0421184662564125,Single,
310.1674,67.5701,POS,[M+NH4]+,292.133577,KEGG,C11740,,292.132411,-3.9913248315581016,,,,,1.0105205101065138,Single,
313.1968,39.5862,POS,[M+H]+,312.18952353312,KEGG,C14561,gingerol,312.187801,-5.517587843827296,C17H26O4,CCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,,CHEBI:10136,0.9689447293703621,Medium,
313.2122,31.8012,POS,[M+H]+,312.20492353312,KEGG,C08092,,312.204907,-0.0529559874220258,,,,,1.2968226407546786,Single,
316.1166,45.343,POS,[M+H]+,315.10932353312,KEGG,C08528,,315.110673,4.282535549517239,,,,,1.0430478670289656,Single,
316.1787,47.1981,POS,[M+Na]+,293.189482,KEGG,C10995,,293.189198,-0.9686568497772146,,,,,1.1918805890133672,Single,
317.0644,0.6905,POS,[M+H]+,316.05712353312,KEGG,C04443,,316.058303,3.731815523919437,,,,,1.0760910685648337,Single,
319.2997,73.4964,POS,[M+Na]+,296.310482,KEGG,C01389,,296.307916,-8.659835395231218,,,,,0.730409876286127,Single,
321.3314,87.7446,POS,[M+Na]+,298.342182,KEGG,C13815,,298.347375,17.40618763732098,,,,,0.2056287417607412,Single,
323.1576,15.9734,POS,[M+H]+,322.15032353312,KEGG,C12755,zaleplon,322.15037,0.144239743415868,C17H15N5O,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,,CHEBI:10102,1.291345615395048,Medium,
325.1858,60.1155,POS,[M-H2O+H]+,306.167959,KEGG,C01670,,306.169191,4.02393511077979,,,,,0.9885638933532126,Single,
326.1707,66.4378,POS,[M+K]+,287.207542,KEGG,C02838,,287.209658,7.36749454859683,,,,,0.8079503270841902,Single,
337.1835,17.5064,POS,[M-H2O+H]+,318.165659,KEGG,C09170,"N,N-dipropyl-2-(pyrrolidin-1-yl)quinazolin-4-amine",318.169191,11.101135210846165,C18H26N4,CCCN(CCC)c1nc(N2CCCC2)nc2ccccc12,,CHEBI:117900,0.5639318873492302,Medium,
343.1667,25.4637,POS,[M+K]+,304.203542,KEGG,C05139,,304.203845,0.9960436293368552,,,,,1.1902373822397887,Single,
346.174,17.52,POS,[M+H]+,345.16672353312,KEGG,C13591,,345.170686,11.479863526390451,,,,,0.611208188416573,Single,
353.1217,40.5061,POS,[M-H2O+H]+,334.103859,KEGG,C09141,,334.105253,4.172355279514387,,,,,0.9796586832291367,Single,
357.2112,40.2289,POS,[M+NH4]+,339.17737700000004,KEGG,C11775,"N,N-dibutyl-2-(pyridin-4-yl)quinazolin-4-amine",339.179421,6.026345324190958,C21H26N4,CCCCN(CCCC)c1nc(-c2ccncc2)nc2ccccc12,,CHEBI:116147,0.8884192805485426,Medium,
358.1609,45.3501,POS,[M+Na]+,335.17168200000003,KEGG,C06176,,335.173273,4.746821063368206,,,,,0.9651907361979075,Single,
378.1989,62.9474,POS,[M+K]+,339.235742,KEGG,C06965,,339.231063,-13.792768333807375,,,,,0.4224338999715575,Single,
394.2264,62.7229,POS,[M+NH4]+,376.192577,KEGG,C09714,,376.188589,-10.60095345807261,,,,,0.6139427925156434,Single,
405.3658,80.7207,POS,[M+H]+,404.35852353312,KEGG,C05424,,404.365431,17.082530670228017,,,,,0.2750481597863189,Single,
406.1926,69.7593,POS,[M+H]+,405.18532353312,KEGG,C06917,losmapimod,405.185942,1.5263802612389703,C22H26FN3O2,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1,,CHEBI:131167,1.2084171843256617,Medium,
419.3384,13.0271,POS,[M-H2O+H]+,400.320559,KEGG,C03199,"1,2-didecanoylglycerol",400.318875,-4.206628818210571,C23H44O5,CCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCC,,CHEBI:11152,0.9776022709073657,Medium,
420.2688,27.0078,POS,[M+NH4]+,402.234977,KEGG,C13154,,402.240624,14.039057573082196,,,,,0.4076565456150682,Single,
425.2152,25.8601,POS,[M+H]+,424.20792353312,KEGG,C09776,,424.209718,4.230158798267153,,,,,1.0461904721039708,Single,
428.2819,23.9729,POS,[M+NH4]+,410.248077,KEGG,C04036,,410.243341,-11.54423449018802,,,,,0.5573459305887188,Single,
444.1959,72.1634,NEG,[M+CH3COO]-,385.182049,KEGG,C16709,,385.188923,17.84610684176007,,,,,0.17923358949439594,Single,
446.2674,15.745,POS,[M+K]+,407.304242,KEGG,C08669,,407.303559,-1.676879171763925,,,,,1.1493872496941644,Single,
447.2272,27.0073,POS,[M+Na]+,424.237982,KEGG,C01844,,424.246103,19.142557584617496,,,,,0.1014465449229502,Single,
450.2238,15.5838,POS,[M+NH4]+,432.189977,KEGG,C02008,,432.193674,8.55410860207962,,,,,0.7367534838752229,Single,
450.2979,25.0491,POS,[M+H]+,449.29062353312,KEGG,C00908,,449.284949,-12.629983406775622,,,,,0.5422009955934627,Single,
454.235,7.188,POS,[M+K]+,415.271842,KEGG,C07241,fosinoprilat,415.272259,1.0041615102504378,C23H34NO5P,[H][C@@]1(C2CCCCC2)C[C@@H](C(=O)O)N(C(=O)CP(=O)(O)CCCCc2ccccc2)C1,,CHEBI:116962,1.1897503093849737,Medium,
464.3123,31.7111,POS,[M+Na]+,441.323082,KEGG,C07707,,441.320271,-6.369483298424746,,,,,0.8678310020945154,Single,
464.3123,32.4897,POS,[M+Na]+,441.323082,KEGG,C07707,,441.320271,-6.369483298424746,,,,,0.8678310020945154,Single,
468.3761,49.3158,POS,[M+NH4]+,450.342277,KEGG,C02059,,450.349781,16.6628815086421,,,,,0.25022710948147386,Single,
474.31,12.517,POS,[M+Na]+,451.320782,KEGG,C05150,,451.319878,-2.0030099123407,,,,,1.129819405259558,Single,
476.3281,10.463,POS,[M+H]+,475.32082353312,KEGG,C12786,,475.314517,-13.267950419476772,,,,,0.5039229748313936,Single,
488.2947,18.1338,POS,[M+Na]+,465.305482,KEGG,C01921,withanolide D,465.309038,7.642291220637764,C28H38O6,[H][C@@]12C[C@H]3O[C@]34[C@@H](O)C=CC(=O)[C@]4(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@@](C)(O)[C@@]1([H])CC(C)=C(C)C(=O)O1,,CHEBI:10041,0.7914625267617341,Medium,
493.2471,54.5802,POS,[M+K]+,454.283942,KEGG,C07188,withanolide D,454.283158,-1.7257928961822442,C28H38O6,[H][C@@]12C[C@H]3O[C@]34[C@@H](O)C=CC(=O)[C@]4(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@@](C)(O)[C@@]1([H])CC(C)=C(C)C(=O)O1,,CHEBI:10041,1.1464524262290654,Medium,
499.1255,74.4138,NEG,[M+CH3COO]-,440.111649,KEGG,C09105,,440.114104,5.578130016725946,,,,,0.9153121989964432,Single,
502.2673,44.3336,POS,[M+K]+,463.304142,KEGG,C02033,,463.300599,-7.64724438828609,,,,,0.7911653367028346,Single,
509.3374,12.2815,POS,[M+K]+,470.374242,KEGG,C14495,,470.375995,3.726819718176421,,,,,1.0263908169094147,Single,
510.2838,48.6675,POS,[M+NH4]+,492.249977,KEGG,C09237,,492.252526,5.178263319629775,,,,,0.9393042008222136,Single,
517.3006,20.2028,POS,[M+H]+,516.2933235331201,KEGG,C11991,,516.293448,0.2410778413184872,,,,,1.285535329520891,Single,
518.3239,66.4533,POS,[M+NH4]+,500.290077,KEGG,C11758,,500.298533,16.90219412451744,,,,,0.2358683525289536,Single,
518.3438,14.91,POS,[M+NH4]+,500.309977,KEGG,C08807,,500.313789,7.619276399083609,,,,,0.7928434160549834,Single,
523.2761,48.77,POS,[M+K]+,484.312942,KEGG,C08971,,484.318875,12.250343704361372,,,,,0.5149793777383176,Single,
